id,number,issue,filing,title,us,ipc,inv_location,link,inventors,assignee,asignee_location,tech areas,references
US20110067749A1,0110067749,20110324,20100920,SOLAR ARRAY SUPPORT STRUCTURE,"","H01L31/048, B23P11/00, B23P19/00", Ballston Lake NY US ,N/A,Zuritis Michael,"","",Solar Mounting/Rack,""
US20130035802A1,0130035802,20130207,20120724,Power management device and system,"",G06F1/26, Berkeley CA US  Berkeley CA US ,N/A,"Khaitan Yashraj, Dickinson Jacob","","",Solar Monitoring,""
US20100127571A1,0100127571,20100527,20090925,Systems and Methods to Balance Solar Panels in a Multi-Panel System,"",H02J1/14, Cupertino CA US  Los Gatos CA US ,N/A,"HADAR Ron, ARDITI Shmuel","","",Solar Inverter,""
US20120160991A1,0120160991,20120628,20120131,TERRESTRIAL SOLAR TRACKING PHOTOVOLTAIC ARRAY WITH CHAIN DRIVE,"",G01J1/20, Rockaway NJ US  Belle Mead NJ US  Clinton NJ US  Hillsborough NJ US ,N/A,"Kats Mikhail, Hering Gary D., Zawadzki Peter Allen, Sherman James","","",Solar Mounting/Rack,""
US20110266233A1,0110266233,20111103,20110419,MOUNTING SYSTEM FOR SOLAR MODULES,"",H01L23/12, Bielefeld DE  Bielefeld DE  Enger DE  Gutersloh DE  Herford DE  Bielefeld DE ,N/A,"Ritzler Ralf, Salzer Wadim, Rosenwirth Andreas, Imkamp Gerd, Stockhausen Andre, Hanke Carsten","","",Solar Mounting/Rack,""
US20120255541A1,0120255541,20121011,20120411,Integrated Modular Mounting Apparatus,"",E04D13/18, US ,N/A,Hendrickson Reynold,"","",Solar Mounting/Rack,""
US20110024582A1,0110024582,20110203,20100729,GROUND MOUNTED SOLAR MODULE INTEGRATION SYSTEM,"","F16M11/10, H01L31/18, F16M11/06", Sudbury MA US  Wellesley MA US  North Andover MA US ,N/A,"GIES Mark Charles, ANDERSON David P., LEARY Daniel P.","","",Solar Mounting/Rack,""
US20130076144A1,0130076144,20130328,20110928,SYSTEM AND METHOD FOR LIMITING PHOTOVOLTAIC STRING VOLTAGE,"",H02J1/00, Niskayuna NY US  Latham NY US  Wirtz VA US  Niskayuna NY US ,N/A,"Agamy Mohammed, Elasser Ahmed, Galbraith Anthony William, Harfman-Todorovic Maja","","",Solar Inverter,""
US20090179662A1,0090179662,20090716,20080110,System for Monitoring Individual Photovoltaic Modules,"",G01R31/40, New Port Richey FL US  New Port Richey FL US ,N/A,"Moulton Thomas A., Wilhelmson Eric","","",Solar Monitoring,""
US20120048325A1,0120048325,20120301,20100824,"PHOTOVOLTAIC POWER GENERATING DEVICE, AND CONTROLLING METHOD","","H01L31/042, H02J1/12", Osaka JP  Osaka JP  Osaka JP ,N/A,"MATSUO Takahisa, NISHIKAWA Shuhei, SEKINE Tsuyoshi","","",Solar Monitoring,""
US20120235017A1,0120235017,20120920,20120217,COUNTERBALANCED DUAL AXIS SOLAR TRACKING SYSTEM,"","H01L31/042, G01J1/20", Sedona AZ US  Sedona AZ US ,N/A,"Scanlon Mark, Good Glendon R.","","",Solar Mounting/Rack,""
US20110005512A1,0110005512,20110113,20090710,ADJUSTABLE SOLAR PANEL SUPPORT STRUCTURE,"","F24J2/04, B23P11/00", Canterbury NH US ,N/A,RUESSWICK Scott,"","",Solar Mounting/Rack,""
US20120087048A1,0120087048,20120412,20101012,PHOTOVOLTAIC INVERTER WITH CONTROL FOR PERFORMING LOW VOLTAGE RIDE THROUGH,"",H02H9/04, Livermore CA US  Livermore CA US ,N/A,"Yin Jun, Xu Renjie","","",Solar Inverter,""
US20120281444A1,0120281444,20121108,20110508,SOLAR ENERGY CONVERSION AND UTILIZATION SYSTEM,"","H02M7/537, H02H7/122, H02M7/5387", Pittsboro NC US ,N/A,Dent Paul Wilkinson,"","",Solar Inverter,""
US20120325288A1,0120325288,20121227,20120402,PHOTOVOLTAIC MODULE,"","H01L31/052, H01L31/048, H01L31/02", US  US  US  US ,N/A,"JANG Daehee, Lee Seungyong, Park Jaehyuk, Kim Changuk","","",Solar Inverter,""
US20050274407A1,0050274407,20051215,20040609,Indoor photovoltaic energy system,"",/, Chico CA US ,N/A,Curry William,"","",Solar Mounting/Rack,""
US20050056742A1,0050056742,20050317,20040722,Support structure for mounting a solar panel,"",/, Montreal CA  Outremont CA ,N/A,"Peress Sass, Lau Po","","",Solar Mounting/Rack,""
US20110138711A1,0110138711,20110616,20101119,Integrated Photovoltaic Roof Assembly,"",E04D13/18, Singapore SG  Singapore SG ,N/A,"SENG Toh Peng, Lip Teo Kian","","",Solar Mounting/Rack,""
US20080111517A1,0080111517,20080515,20061115,Charge Controller for DC-DC Power Conversion,"","H02J7/00, G05F5/00, H01L31/042", Redding CT US  Naugatuck CT US  Sandy Hook CT US ,N/A,"Pfeifer John E., Pereira Fabio A.M., Flynn Herbert E.","","",Solar Inverter,""
US20110214367A1,0110214367,20110908,20100816,PHOTOVOLTAIC MODULE MOUNTING ASSEMBLY,"","E04D13/18, E04B1/38", Colorado Springs CO US  Colorado Springs CO US ,N/A,"Haddock Robert M. M., Haddock Dustin Marshall-Maston","","",Solar Mounting/Rack,""
US20120266956A1,0120266956,20121025,20110412,MOUNTING ASSEMBLY FOR A SOLAR PANEL AND METHOD FOR MOUNTING THEREOF,"","H01L31/0203, B23P11/00", Dongguan CN  Dongguan CN ,N/A,"Ye Michael, Fan Kaileung","","",Solar Mounting/Rack,""
US20110089886A1,0110089886,20110421,20101001,Maximum Power Point Tracking Bidirectional Charge Controllers for Photovoltaic Systems,"",H02J7/00, Silver Spring MD US ,N/A,Dubovsky Stephen,"","",Solar Inverter,""
US20130133172A1,0130133172,20130530,20110603,"METHOD FOR THE AUTOMATED MOUNTING OF MODULES ON RECEIVING DEVICES, IN PARTICULAR SOLAR MODULES ON STANDS  AND MOBILE MOUNTING DEVICE FOR SUCH MODULES","",B60P1/00, Lauchheim DE  Nurtingen DE ,N/A,"Kiener Waldemar, Brodbeck Bernd","","",Solar Mounting/Rack,""
US20100071747A1,0100071747,20100325,20090922,Method of Operating Building Integrated Photovoltaic Conversion System,"",H01L31/042, Alameda CA US  Alameda CA US ,N/A,"Brescia Joe, Tofflemire Mark","","",Solar Mounting/Rack,""
US20100010939A1,0100010939,20100114,20080712,RENEWABLE ENERGY SYSTEM BUSINESS TUNING,"",G01R21/133, Palo Alto CA US  Palo Alto CA US ,N/A,"Arfin David, Tarbell Ben","","",Solar Monitoring,""
US20110284057A1,0110284057,20111124,20110421,RAIL SYSTEMS AND METHODS FOR INSTALLATION AND OPERATION OF PHOTOVOLTAIC ARRAYS,"","H01L31/048, B61C3/00, B21C23/00, B61C7/00, B61C5/00, B61B13/00, H05K13/00, G05B19/02", Tiburon CA US  Richmond CA US ,N/A,"Swahn Anders, Oels Wolfgang","","",Solar Mounting/Rack,""
US20130136528A1,0130136528,20130530,20130124,ASSEMBLIES FOR CONSTRUCTING SOLAR PANEL MOUNTING SYSTEMS,"",F16B7/04, Mascoutah IL US ,N/A,"Cablofil, Inc. ","","",Solar Mounting/Rack,""
US20080143188A1,0080143188,20080619,20071204,DISTRIBUTED POWER HARVESTING SYSTEMS USING DC POWER SOURCES,"",H02J3/00, Raanana IL  Givataim IL  Raanana IL  Tel Aviv IL  Bitan Aharon IL ,N/A,"Adest Meir, Handelsman Lior, Galin Yoav, Fishelov Amir, Sella Guy","","",Solar Inverter,""
US20100096073A1,0100096073,20100422,20090916,COMPRESSION OR ARCHED MOUNTING OF SOLAR PANELS,"",B29C65/00, Palo Alto CA US  Los Altos CA US  San Jose CA US  San Jose CA US ,N/A,"Adriani Paul M., Stancel Robert, Basel Louis, Marsh Steve","","",Solar Mounting/Rack,""
US20120074079A1,0120074079,20120329,20110629,Adjustable Racking System for Solar Array and Method of Construction of a Solar Array,"","F24J2/52, B23P17/00", Belchertown MA US ,N/A,Marley James David,"","",Solar Mounting/Rack,""
US20130133716A1,0130133716,20130530,20121130,CONNECTION DEVICE FOR CONNECTING AN ELECTRIC COMPONENT INTO A CURRENT PATH,"","H01R25/14, H01L31/05", Roedental DE ,N/A,Woehner GmbH & Co. KG Elektrotechnische Syst ,"","",Solar Inverter,""
US20130025652A1,0130025652,20130131,20120921,PHOTOVOLTAIC MODULE KIT INCLUDING CONNECTOR ASSEMBLY FOR NON-PENETRATING ARRAY INSTALLATION,"",H01L31/048, El Cerrito CA US  Berkeley CA US  Oakland CA US  Berkeley CA US ,N/A,"Botkin Jonathan, Graves Simon, Danning Matt, Culligan Matthew","","",Solar Mounting/Rack,""
US20120080955A1,0120080955,20120405,20111005,High Voltage Energy Harvesting and Conversion Renewable Energy Utility Size Electric Power Systems and Visual Monitoring and Control Systems for Said Systems,"",H02J1/00, Maple Glen PA US  Norristown PA US ,N/A,"FISHMAN Oleg S., SCHWABE Ulrich K.W.","","",Solar Monitoring,""
US20120211252A1,0120211252,20120823,20120217,Solar Panel Racking System with Integrated Grounding Bar Rail,"","H01R4/00, H05F3/02", Suffern NY US  Harrison NY US ,N/A,"Turziano Carl L., Contrata, JR. Richard C.","","",Solar Mounting/Rack,""
US20100139945A1,0100139945,20100610,20091204,Mounting rail and power distribution system for use in a photovoltaic system,"","H01B7/00, H01R4/24, H01R43/00", Auburn CA US ,N/A,Dargatz Marv,"","",Solar Mounting/Rack,""
US20130088080A1,0130088080,20130411,20111005,Dynamic Break and Distortion Filter,"","H02J1/10, H02M7/44", Daleville VA US  Roanoke VA US ,N/A,"Smith David, Wagoner Robert Gregory","","",Solar Inverter,""
US20100127142A1,0100127142,20100527,20080403,DEVICE FOR MOUNTING SOLAR MODULES,"","F16M13/00, F16C35/02", Schwedt DE ,N/A,Genschorek Gido,"","",Solar Mounting/Rack,""
US20120240490A1,0120240490,20120927,20120326,ROOF MOUNTED PHOTOVOLTAIC SYSTEM WITH ACCESSIBLE PANEL ELECTRONICS,"","E04D13/18, E04B1/38, E04H14/00, H01L31/18", Grass Valley CA US ,N/A,Gangemi Ronald J.,"","",Solar Mounting/Rack,""
US20110114158A1,0110114158,20110519,20100930,REPLACEABLE PHOTOVOLTAIC ROOF PANEL,"",H01L31/042, Oakland CA US ,N/A,Lenox Carl J.S.,"","",Solar Mounting/Rack,""
US20100262843A1,0100262843,20101014,20090527,Energy Controlled Data Transmission of a Field Device,"","G06F1/26, H02J1/00", Haslach i.K. DE  Haslach i.K. DE  Wolfach DE  Haslach DE ,N/A,"Allgaier Volker, Isenmann Andreas, Deck Thomas, Fehrenbach Josef","","",Solar Monitoring,""
US20110125422A1,0110125422,20110526,20080911,METHOD AND DEVICE FOR MEASURING AND MONITORING,"","G06F19/00, G01R21/00", Belo Horizonte BR  Belo Horizonte BR  Belo Horizonte BR ,N/A,"Goncalves Jota Fabio, Romeiro Da Silva Jota Patricia, Carvalhaes Nobre Eduardo","","",Solar Monitoring,""
US20120304559A1,0120304559,20121206,20110208,"ROOF STRUCTURE, CLAMP FOR SOLAR CELL MODULE, AND METHOD FOR MOUNTING SOLAR CELL MODULE","","E04D13/18, E04B1/38", Yasu-shi JP ,N/A,Ishida Kensuke,"","",Solar Mounting/Rack,""
US20120031862A1,0120031862,20120209,20110803,FOLDING MOUNT FOR PHOTOVOLTAIC MODULES,"","H01L23/12, B23P11/00, B23P17/00, B65B35/50", Mendham NJ US  Stamford CT US  Morris Plains NJ US  Brick NJ US  Peoria AZ US  Stanhope NJ US  Highstown NJ US  Branchburg NJ US ,N/A,"Belikoff Michael A., Bellacicco John Anthony, Cabuhay Henry B., Hartelius John, Mahn Chris, Monaco Michael J., Ramani Sharad, Zeni Mark","","",Solar Mounting/Rack,""
US20090012917A1,0090012917,20090108,20061004,System and Method for Array and String Level Monitoring of a Grid-Connected Photovoltaic Power System,"","G06Q30/00, G06F19/00, G06Q50/00, G06F3/048, G08B23/00", San Rafael CA US  Corte Madena CA US  San Rafael CA US ,N/A,"Thompson Daniel S., Sampath Laks, Shevick David","","",Solar Monitoring,""
US20110103118A1,0110103118,20110505,20101102,NON-ISOLATED DC-DC CONVERTER ASSEMBLY,"","G05F3/08, H02M7/5387", Zurich CH  Espoo FI  Baden-Dattwill CH  Zurich CH  Baden CH ,N/A,"SERPA Leonardo-Augusto, Paakkinen Mikko, Canales Francisco, Escobar Gerardo, Coccia Antonio","","",Solar Inverter,""
US20120036799A1,0120036799,20120216,20110331,SUPPORT DEVICE FOR MOUNTING A SOLAR PANEL AND MOUNTING SYSTEM INCORPORATING SAME,"","E04D13/18, H01L23/12", Radeberg DE  Bremen DE ,N/A,"Kneip Johannes, Bjelobrk Miro","","",Solar Mounting/Rack,""
US20120285515A1,0120285515,20121115,20101227,"STRUCTURE INSTALLATION MOUNT, SUPPORT DEVICE FOR STRUCTURE INSTALLATION, AND SOLAR PHOTOVOLTAIC SYSTEM","","H01L23/12, F16M13/02, H01L31/048", Osaka-shi JP ,N/A,Sagayama Kenichi,"","",Solar Mounting/Rack,""
US20110074337A1,0110074337,20110331,20100928,MOBILE ELECTRONIC DEVICE,"","H01M10/46, G05F3/02", Yokohama JP ,N/A,ADACHI Yoshikazu,"","",Solar Monitoring,""
US20120263252A1,0120263252,20121018,20110412,Systems and Methods of Power Line Transmission of Solar Panel Data,"",H04L1/02, Richardson TX US ,N/A,Narayanan Sriram,"","",Solar Monitoring,""
US20080030354A1,0080030354,20080207,20050527,"Sensor Device for Monitoring the Operation of a PV System, and PV System with Such a Sensor Device","",G08B21/00, Den Haag NL ,N/A,Oldenkamp Hendrik,"","",Solar Monitoring,""
US20120306279A1,0120306279,20121206,20110603,Photovoltaic Voltage Regulation,"",H02J1/00, Burnaby CA ,N/A,Garabandic Djordje,"","",Solar Inverter,""
US20050173615A1,0050173615,20050811,20030521,Dc-dc converter,"",/, Oss NL ,N/A,Hontele Bertrand,"","",Solar Inverter,""
US20130048056A1,0130048056,20130228,20110829,SOLAR PANEL ASSEMBLY ATTACHMENT APPARATUS,"","H01L31/048, H01L31/18", Southfield MI US  Lake Orion MI US  Chesterfield MI US  Brunswick OH US  Parma OH US  Berkeley CA US  Strongsville OH US ,N/A,"Kilgore Dorian J., Teller William, Evangelista Elio G., McCullah Justin, Wagner Thomas, DuPont Luc, VanBoxel James","","",Solar Mounting/Rack,""
US20080283118A1,0080283118,20081120,20080515,PHOTOVOLTAIC AC INVERTER MOUNT AND INTERCONNECT,"",H01L31/042, Cascade CO US  Boulder CO US ,N/A,"Rotzoll Robert R., Kapur Rajan N.","","",Solar Inverter,""
US20110248137A1,0110248137,20111013,20110309,Methods and Apparatus for Mounting Solar Panels,"","H01L23/12, H01L31/18", Goodyear AZ US ,N/A,Barba Nathan,"","",Solar Mounting/Rack,""
US20090014057A1,0090014057,20090115,20070713,PHOTOVOLTAIC MODULES WITH INTEGRATED DEVICES,"","H01L31/052, H01L31/042, H01L31/058", Menlo Park CA US  Santa Clara CA US  San Francisco CA US  San Martin CA US  San Jose CA US  Dublin CA US  Cupertino CA US  Saratoga CA US  San Jose CA US  Mountain View CA US  Palo Alto CA US ,N/A,"Croft Steven, Dorn Randy, Gur Ilan, Hachtmann Bruce, Hollars Dennis, Jaiswal Shefali, Paulson Puthur, Pearce David, Ramanathan Kannan, Sanders William, Tarbell Ben","","",Solar Monitoring,""
US20100275966A1,0100275966,20101104,20091125,REDUCING PHOTOVOLTAIC ARRAY VOLTAGE DURING INVERTER RE-ENABLEMENT,"",H01L31/042, Baraboo WI US  Waukesha WI US  New Berlin WI US  Waunakee WI US ,N/A,"Folts Douglas C., Facchini Kleber V. C., Wijenayake Ajith H., Bowers Gary J.","","",Solar Inverter,""
US20120097807A1,0120097807,20120426,20101025,Solar panel support system,"",F16M11/04, Toronto CA ,N/A,Rees Kyle J.,"","",Solar Mounting/Rack,""
US20130058140A1,0130058140,20130307,20121102,METHOD FOR LIMITING THE GENERATOR VOLTAGE OF A PHOTOVOLTAIC INSTALLATION IN CASE OF DANGER AND PHOTOVOLTAIC INSTALLATION,"",H02H7/122, Niestetal DE ,N/A,SMA Solar Technology AG ,"","",Solar Inverter,""
US20120174505A1,0120174505,20120712,20120319,Shingle with Photovoltaic Element(s) and Array of Same Laid Up on a Roof,"","E04D13/18, H01L31/18, H01L31/0203", Oreland PA US  Swarthmore PA US ,N/A,"Jacobs Gregory F., Kalkanoglu Husnu M.","","",Solar Mounting/Rack,""
US20090194098A1,0090194098,20090806,20090130,Solar Module with a Frame for Mounting a Solar Panel,"",F24J2/46, Frederick MD US ,N/A,Placer Neil V.,"","",Solar Mounting/Rack,""
US20120049637A1,0120049637,20120301,20101221,Methods and Systems for Operating a Power Generation System,"",H02J3/44, Niskayuna NY US  Niskayuna NY US ,N/A,"Teichmann Ralph, O'Brien Kathleen Ann","","",Solar Inverter,""
US20130013257A1,0130013257,20130110,20110314,SOLAR POWER PLANT MONITORING SYSTEM,"",G06F15/00, Osaka-Shi JP  Osaka-Shi JP ,N/A,"Yamakawa Akiko, Yoshimi Naoki","","",Solar Monitoring,""
US20080308093A1,0080308093,20081218,20061219,"Solar Energy Collection Device for Tiled Roofs, and a Method for Mounting the Same","","E04D13/18, F24J2/12", Muchamiel ES  Muchamiel ES ,N/A,"Gianasso Roland, Ramirez Carreras Carlos","","",Solar Mounting/Rack,""
US20120320641A1,0120320641,20121220,20110616,POWER CONVERTER BUS CONTROL,"",H02M5/45, Austin TX US ,N/A,Chapman Patrick L.,"","",Solar Inverter,""
US20090025313A1,0090025313,20090129,20060222,"DEVICE AND METHOD FOR FIXING OBJECTS, IN PARTICULAR SOLAR PANELS, TO A ROOF","",E04D13/18, Kring Van Dorth NL  Deventer NL ,N/A,"Smidt Theo Jacob, de Vogel Jeroen","","",Solar Mounting/Rack,""
US20130015710A1,0130015710,20130117,20120914,DISTRIBUTED INVERTER AND INTELLIGENT GATEWAY,"",H02J1/10, Cascade CO US  Boulder CO US  Cupertino CA US ,N/A,"Rotzoll Robert R., Kapur Rajan N., Patil Suhas S.","","",Solar Inverter,""
US20080029144A1,0080029144,20080207,20070518,Supporting a solar energy collection device,"",H01L35/00, Auckland NZ  Bath GB  London GB  London GB  Waterlooville GB ,N/A,"Brazier Shay Donald, Davies Daniel Gower, Bateman Lachlan Samuel, Atherton Guy Roderick, Berry Martyn John Charles","","",Solar Mounting/Rack,""
US20120126629A1,0120126629,20120524,20111111,"Controller, power inverter, photovoltaic power supply system, and method for controlling deactivation of at least one photovoltaic module","",H02J3/38, Dresden DE  Dresden DE  Dresden DE  Penig DE ,N/A,"Georgi Matthias, Storbeck Olaf, Hahn Harald, Kutzer Martin","","",Solar Monitoring,""
US20120032515A1,0120032515,20120209,20111017,Systems for Optimized Solar Power Inversion,"",H02J1/00, Fort Collins CO US  Wellington CO US ,N/A,"Ledenev Anatoli, Porter Robert M.","","",Solar Inverter,""
US20100307479A1,0100307479,20101209,20100603,Solar Panel Tracking and Mounting System,"","F24J2/38, F24J2/00", San Jose CA US ,N/A,Park Ken Hyun,"","",Solar Mounting/Rack,""
US20110209745A1,0110209745,20110901,20100226,PHOTOVOLTAIC FRAMED MODULE ARRAY MOUNT UTILIZING ASYMMETRIC RAIL,"","H01L31/048, H05K13/00", Niskayuna NY US  Schenectady NY US  Niskayuna NY US  Schenectady NY US ,N/A,"Korman Charles Steven, Johnson Neil Anthony, Mi Jian, Doherty Donald Michael","","",Solar Mounting/Rack,""
US20120025042A1,0120025042,20120202,20100729,APPARATUS FACILITATING MOUNTING OF SOLAR PANELS TO A RAIL ASSEMBLY,"","F16M13/02, F16C29/02, F16C29/00", Stamford CT US  Brick NJ US  Morris Plains NJ US  Clinton NJ US  Stanhope NJ US ,N/A,"Bellacicco John, Hartelius John, Cabuhay Henry, Kuster Tom, Monaco Michael","","",Solar Mounting/Rack,""
US20110290307A1,0110290307,20111201,20110519,MODULAR SOLAR PANEL SYSTEM,"","H01L31/048, H01M10/46", Morgan UT US  Logan UT US ,N/A,"Workman Robert Emmett, Krantz Norm","","",Solar Mounting/Rack,""
US20120152349A1,0120152349,20120621,20111221,JUNCTION BOX ATTACHMENT FOR PHOTOVOLTAIC THIN FILM DEVICES,"","H01L31/0203, H01L31/18", San Jose CA US  San Jose CA US  Sunnyvale CA US  San Jose CA US  Morgan Hill CA US ,N/A,"Cao Ting, Metin Burak, Duarte Victor, Lee Eric, Pinarbasi Mustafa","","",Solar Inverter,""
US20120319489A1,0120319489,20121220,20120608,Power Shuffling Solar String Equalization System,"",H02J1/00, Austin TX US  Austin TX US ,N/A,"McCaslin Shawn R., Williams Bertrand J.","","",Solar Inverter,""
US20120167960A1,0120167960,20120705,20120301,System and Method for Supporting a Plurality of Arrays of Photovoltaic Devices Above a Ground Surface,"",H01L31/048, Philadelphia PA US  Drexel Hill PA US  Cherry Hill NJ US  Mt. Laurel NJ US ,N/A,"SCORSONE John, DOLCEAMORE John, OFFICER Peter, TAMBURRI Michael J.","","",Solar Mounting/Rack,""
