pat_id, title, USPA#, date
pat0_135, Solar-powered light pole and LED light fixture, 8029154, October 4  2011, 
pat0_136, High efficiency photovoltaic inverter, 8023297, September 20  2011, 
pat0_137, AC photovoltaic module and inverter assembly, 8023266, September 20  2011, 
pat0_138, Method and system to convert direct current (DC) to alternating current (AC) using a photovoltaic inverter, 8018748, September 13  2011, 
pat0_139, Portable power and utility system, 8013567, September 6  2011, 
pat0_13, Method of and apparatus for connecting a photovoltaic device to an AC power grid, 8482936, July 9  2013, 
pat0_140, Method and apparatus for controlling a hybrid power system, 8008808, August 30  2011, 
pat0_141, Current bypass for distributed power harvesting systems using DC power sources, 8004117, August 23  2011, 
pat0_142, Highly efficient solar power systems, 8004116, August 23  2011, 
pat0_143, System and method for decreasing solar collector system losses, 7990743, August 2  2011, 
pat0_144, Method and apparatus for power conversion with maximum power point tracking and burst mode capability, 7986122, July 26  2011, 
pat0_145, Safety device for plug and play solar energy system, 7977818, July 12  2011, 
pat0_146, Apparatus providing bias to solar cells, 7969757, June 28  2011, 
pat0_147, Photovoltaic inverter interface device  system  and method, 7964837, June 21  2011, 
pat0_148, System and method of determining maximum power point tracking for a solar power inverter, 7960863, June 14  2011, 
pat0_149, Photovoltaic inverter, 7955134, June 7  2011, 
pat0_14, Inverter cooler, 8482163, July 9  2013, 
pat0_150, System for producing electric power from renewable sources and a control method thereof, 7952897, May 31  2011, 
pat0_151, Power supply having maximum power point tracking function, 7940032, May 10  2011, 
pat0_152, High efficiency  multi-source photovoltaic inverter, 7929325, April 19  2011, 
pat0_153, Switching device and method  in particular for photovoltaic generators, 7924582, April 12  2011, 
pat0_154, System and method for anti-islanding  such as anti-islanding for a grid-connected photovoltaic inverter, 7906870, March 15  2011, 
pat0_155, Extra electric energy for day-night cycle solar aircraft, 7898789, March 1  2011, 
pat0_156, Portable solar generator, 7898212, March 1  2011, 
pat0_157, Battery powered electrosurgical system, 7896875, March 1  2011, 
pat0_158, Integrated voltaic energy system, 7893346, February 22  2011, 
pat0_159, Apparatuses and methods to reduce safety risks associated with photovoltaic systems, 7884278, February 8  2011, 
pat0_15, Systems for optimized solar power inversion, 8482153, July 9  2013, 
pat0_160, Solar powered irrigation machine, 7878429, February 1  2011, 
pat0_161, DC to AC inverter with single-switch bipolar boost circuit, RE42039, January 18  2011, 
pat0_162, Apparatus for phase rotation for a three-phase AC circuit, 7855473, December 21  2010, 
pat0_163, Concentrated solar photovoltaic module with protective light shielding, 7855336, December 21  2010, 
pat0_164, Inverter  more specifically for photovoltaic plants, 7843714, November 30  2010, 
pat0_165, Systems for highly efficient solar power, 7843085, November 30  2010, 
pat0_166, Intelligent motorized appliances with multiple power sources, 7825615, November 2  2010, 
pat0_167, Method of monitoring a photovoltaic generator, 7812592, October 12  2010, 
pat0_168, Flexible photovoltaic array with integrated wiring and control circuitry  and associated methods, 7812247, October 12  2010, 
pat0_169, Concentrated solar photovoltaic module, 7807920, October 5  2010, 
pat0_16, Grid regulation services for energy storage devices based on grid frequency, 8478452, July 2  2013, 
pat0_170, Apparatuses and methods to reduce safety risks associated with photovoltaic systems, 7807919, October 5  2010, 
pat0_171, Backup power system, 7800248, September 21  2010, 
pat0_172, Portable solar power supply trailer with a security containment area and multiple power interfaces, 7795837, September 14  2010, 
pat0_173, Distributed maximum power point tracking system  structure and process, 7772716, August 10  2010, 
pat0_174, System and method for ground fault detection and interruption, 7768751, August 3  2010, 
pat0_175, Method and apparatus for improved burst mode during power conversion, 7768155, August 3  2010, 
pat0_176, Inverter bus structures and associated methods, 7768154, August 3  2010, 
pat0_177, Methods for minimizing double-frequency ripple power in single-phase power conditioners, 7755916, July 13  2010, 
pat0_178, Inverter thermal protection, 7738228, June 15  2010, 
pat0_179, Photovoltaic inverter, D616815, June 1  2010, 
pat0_17, Mounting rail and power distribution system for use in a photovoltaic system, 8469735, June 25  2013, 
pat0_180, Systems for boundary controlled solar power conversion, 7719140, May 18  2010, 
pat0_181, Photovoltaic power generation module and photovoltaic power generation system employing same, 7714224, May 11  2010, 
pat0_182, Zero-phase current detecting apparatus, 7696743, April 13  2010, 
pat0_183, Device for feeding electrical energy from an energy source, 7672149, March 2  2010, 
pat0_184, Mount module for an inverter and inverter having a plurality of mount modules, 7667963, February 23  2010, 
pat0_185, Doped elongated semiconductors  growing such semiconductors  devices including such semiconductors  and fabricating such devices, 7666708, February 23  2010, 
pat0_186, Apparatus to reduce the cost of renewable hydrogen fuel generation by electrolysis using combined solar and grid power, 7645931, January 12  2010, 
pat0_187, Redundant power system having a photovoltaic array, 7629708, December 8  2009, 
pat0_188, Device system and method for coupling multiple photovoltaic arrays, 7619200, November 17  2009, 
pat0_189, System and method for coordinated control and utilization of local storage and generation  with a power grid, 7612466, November 3  2009, 
pat0_18, Power converter for a power generator, 8467200, June 18  2013, 
pat0_190, System for assured reliability in DC to AC power converters, 7610174, October 27  2009, 
pat0_191, Systems for highly efficient solar power conversion, 7605498, October 20  2009, 
pat0_192, Compact photovoltaic generation assembly and power supply, 7582826, September 1  2009, 
pat0_193, Photovoltaic awning structures, 7576282, August 18  2009, 
pat0_194, Method for matching the power of a photovoltaic system to a working point at which the system produces maximum power, 7564013, July 21  2009, 
pat0_195, Heat pump liquid heater, 7543456, June 9  2009, 
pat0_196, Display for inverter for photovoltaic installation, D592156, May 12  2009, 
pat0_197, Display for inverter for photovoltaic installation, D592155, May 12  2009, 
pat0_198, Display for inverter for photovoltaic installation, D592154, May 12  2009, 
pat0_199, Display for inverter for photovoltaic installation, D592153, May 12  2009, 
pat0_19, Bipolar DC to AC power converter with DC ground fault interrupt, 8467160, June 18  2013, 
pat0_1, Measuring array, RE44455, August 27  2013, 
pat0_200, Tracking solar shelter, 7531741, May 12  2009, 
pat0_201, Display for inverter for photovoltaic installation, D591692, May 5  2009, 
pat0_202, Display for inverter for photovoltaic installation, D591246, April 28  2009, 
pat0_203, Display for inverter for photovoltaic installation, D590778, April 21  2009, 
pat0_204, System and method for providing reactive power support with distributed energy resource inverter, 7508173, March 24  2009, 
pat0_205, Inverter startup algorithm, 7502241, March 10  2009, 
pat0_206, Mobile solar generator, 7492120, February 17  2009, 
pat0_207, High-performance solar photovoltaic (PV) energy conversion system, 7479774, January 20  2009, 
pat0_208, Stand-alone wind turbine system  apparatus  and method suitable for operating the same, 7476987, January 13  2009, 
pat0_209, Method of finding a maximum power of a photovoltaic generator, 7471073, December 30  2008, 
pat0_20, Method for theft recognition on a photovoltaic unit and inverter for a photovoltaic unit, 8466789, June 18  2013, 
pat0_210, Portable power system, 7469541, December 30  2008, 
pat0_211, Photovoltaic power converter system with a controller configured to actively compensate load harmonics, 7465872, December 16  2008, 
pat0_212, Inverter startup algorithm, 7433215, October 7  2008, 
pat0_213, Inverter anti-islanding method, 7432618, October 7  2008, 
pat0_214, Inverter, 7414870, August 19  2008, 
pat0_215, Method of converting a direct current voltage from a source of direct current voltage  more specifically from a photovoltaic source of direct current voltage  into a alternating current voltage, 7411802, August 12  2008, 
pat0_216, Renewable energy power systems, 7411308, August 12  2008, 
pat0_217, Inverter design, 7397653, July 8  2008, 
pat0_218, Portable solar energy system, 7388348, June 17  2008, 
pat0_219, Power conditioning system for energy sources, 7372709, May 13  2008, 
pat0_21, Solar combiner with integrated string current monitoring, 8466706, June 18  2013, 
pat0_220, Method of automatically recognizing an electrical system, 7352549, April 1  2008, 
pat0_221, Protective device for a load current carrying apparatus, 7338311, March 4  2008, 
pat0_222, Remote access energy meter system and method, 7336201, February 26  2008, 
pat0_223, Power system for a telecommunication facility, 7298053, November 20  2007, 
pat0_224, Method and apparatus for determining a maximum power point of photovoltaic cells, 7256566, August 14  2007, 
pat0_225, Multiple bi-directional input/output power control system, 7227278, June 5  2007, 
pat0_226, Doped elongated semiconductors  growing such semiconductors  devices including such semiconductors and fabricating such devices, 7211464, May 1  2007, 
pat0_227, Method and apparatus for tracking maximum power point for inverters  for example  in photovoltaic applications, 7158395, January 2  2007, 
pat0_228, Method and apparatus for optimizing power efficiency in light emitting device arrays, 7151346, December 19  2006, 
pat0_229, Method and apparatus for controlling visual enhancement of luminent devices, 7151345, December 19  2006, 
pat0_22, System and method for utility pole distributed solar power generation, 8466581, June 18  2013, 
pat0_230, Method and device for controlling photovoltaic inverter  and feed water device, 7126294, October 24  2006, 
pat0_231, Solar powered lamp having an auxiliary startup device, 7098604, August 29  2006, 
pat0_232, Transformerless static voltage inverter for battery systems, 7046531, May 16  2006, 
pat0_233, Method of controlling photovoltaic power generation system, 7042195, May 9  2006, 
pat0_234, Hybrid clean-energy power-supply framework, 7000395, February 21  2006, 
pat0_235, Photovoltaic power generating apparatus  method of producing same and photovoltaic power generating system, 6966184, November 22  2005, 
pat0_236, Grid-connected power systems having back-up power sources and methods of providing back-up power in grid-connected power systems, 6949843, September 27  2005, 
pat0_237, Power converter system, 6940735, September 6  2005, 
pat0_238, Power system for a telecommunication facility, 6930402, August 16  2005, 
pat0_239, Multi-use electric tile modules, 6928775, August 16  2005, 
pat0_23, Power inverter docking system for photovoltaic modules, 8462518, June 11  2013, 
pat0_240, Low voltage ride through for wind turbine generators, 6921985, July 26  2005, 
pat0_241, Solar-battery array  and photovoltaic power generation system, 6884934, April 26  2005, 
pat0_242, DC to DC converter and power management system, 6882063, April 19  2005, 
pat0_243, Heated bridge deck system and materials and method for constructing the same, 6825444, November 30  2004, 
pat0_244, Solar-cell-installed structure  and photovoltaic power generation system, 6803515, October 12  2004, 
pat0_245, Plural configurable DC sources to provide optimal power to plural configurable inverters, 6800964, October 5  2004, 
pat0_246, Photovoltaic power generating structure, 6800801, October 5  2004, 
pat0_247, Power converter  and photovoltaic element module and power generator using the same, 6791024, September 14  2004, 
pat0_248, Spotlight for use in illuminating ornamental displays, 6764197, July 20  2004, 
pat0_249, Electrical power module and system, 6660929, December 9  2003, 
pat0_24, Photovoltaic power generating device  and controlling method, 8461716, June 11  2013, 
pat0_250, Window structure with photovoltaic panel, 6646196, November 11  2003, 
pat0_251, Power supply system provided with photovoltaic generator, 6528977, March 4  2003, 
pat0_252, Quantum energy storage or retrieval device, 6501093, December 31  2002, 
pat0_253, Grid-linked power supply, 6452289, September 17  2002, 
pat0_254, Portable solar generator, 6396239, May 28  2002, 
pat0_255, Wind/sun solar collection system (HS2), 6372978, April 16  2002, 
pat0_256, Inverter circuit and method of operation, 6339538, January 15  2002, 
pat0_257, Solar cell module having an overvoltage preventive element and sunlight power generation system using the solar cell module, 6331670, December 18  2001, 
pat0_258, Scavenger energy converter system its new applications and its control systems, 6327994, December 11  2001, 
pat0_259, Photovoltaic power generation device, 6291764, September 18  2001, 
pat0_25, Device system and method for coupling multiple photovoltaic arrays, 8461507, June 11  2013, 
pat0_260, Solar-powered  mobile vending apparatus, 6263674, July 24  2001, 
pat0_261, Photovoltaic device  manufacturing method of photovoltaic device  photovoltaic device integrated with building material and power-generating apparatus, 6222117, April 24  2001, 
pat0_262, Multilevel cascade voltage source inverter with seperate DC sources, RE37126, April 3  2001, 
pat0_263, Solar battery modules  installation method thereof  and solar power generator using such modules, 6207889, March 27  2001, 
pat0_264, Integrated photovoltaic system, 6201180, March 13  2001, 
pat0_265, Low-noise drive circuit for electroluminescent lamp  and electroluminescent lamp assembly comprising same, 6198226, March 6  2001, 
pat0_266, Inverter integrated instrumentation having a current-voltage curve tracer, 6111767, August 29  2000, 
pat0_267, Photovoltaic power generation apparatus, 6107560, August 22  2000, 
pat0_268, Photovoltaic power generating system, 6093885, July 25  2000, 
pat0_269, Solar cell module  solar cell array having the module  power generation apparatus using the array  and inspection method and construction method of the apparatus, 6093884, July 25  2000, 
pat0_26, Configurable power supply assembly, 8456876, June 4  2013, 
pat0_270, Method and apparatus for providing energy to a lighting system, 6081104, June 27  2000, 
pat0_271, Solar power supply system, 6046400, April 4  2000, 
pat0_272, Modular DC cogenerator systems, 5969435, October 19  1999, 
pat0_273, Hemispheric moving focus power plant apparatus and method, 5961739, October 5  1999, 
pat0_274, Device for charging a battery using a photovoltaic cell  and timepiece comprising same, 5959432, September 28  1999, 
pat0_275, Electrical power regulator, 5914590, June 22  1999, 
pat0_276, Power conditioning system for a four quadrant photovoltaic array with an inverter for each array quadrant, 5896281, April 20  1999, 
pat0_277, Vehicle top solar power generator, 5725062, March 10  1998, 
pat0_278, Inverter control method and inverter apparatus using the method, 5719758, February 17  1998, 
pat0_279, Light pipe with solar bulb energy conversion system, 5716442, February 10  1998, 
pat0_27, Single stage micro-inverter with H-bridge topology combining flyback and forward operating modes, 8456865, June 4  2013, 
pat0_280, Power conditioning system for a four quadrant photovoltaic array with an inverter for each array quadrant, 5677833, October 14  1997, 
pat0_281, Multilevel cascade voltage source inverter with seperate DC sources, 5642275, June 24  1997, 
pat0_282, Multi-purpose solar energy conversion system, 5522944, June 4  1996, 
pat0_283, Fiber optic power-generating system, 5501743, March 26  1996, 
pat0_284, Electric power supply system, 5493155, February 20  1996, 
pat0_285, Device for signalling the position of a mobile member, 5331319, July 19  1994, 
pat0_286, Solar powered electric ship system, 5131341, July 21  1992, 
pat0_287, Portable power supply, 5111127, May 5  1992, 
pat0_288, Electric motor running system employing photovoltaic array, 4999560, March 12  1991, 
pat0_289, Solar irrigation D.C. to A.C. power system supplying A.C. voltage at a precise power frequency, 4980574, December 25  1990, 
pat0_28, Integral ac module grounding system, 8455752, June 4  2013, 
pat0_290, Photovoltaic power control system, 4636931, January 13  1987, 
pat0_291, Electrical power matching system, 4494180, January 15  1985, 
pat0_292, Solar-powered lighting system, 4484104, November 20  1984, 
pat0_293, Method of and apparatus for enabling output power of solar panel to be maximized, 4375662, March 1  1983, 
pat0_294, Solar power system requiring no active control device, 4341607, July 27  1982, 
pat0_295, Solar powered automatic turn-on control (SPA-TOC) unit and method, 4333136, June 1  1982, 
pat0_296, Electronic display device for timepiece and the like, 4006583, February 8  1977, 
pat0_29, Control system for photovoltaic power plant, 8452461, May 28  2013, 
pat0_2, Solar powered irrigation machine, 8517289, August 27  2013, 
pat0_30, Mounting for a DC-AC converter and method for fitting a DC-AC converter, 8435064, May 7  2013, 
pat0_31, Apparatus for coupling power generated by a photovoltaic module to an output, 8435056, May 7  2013, 
pat0_32, DC-to-AC power inverting apparatus for photovoltaic modules, 8432709, April 30  2013, 
pat0_33, Method and system for distributed energy generator message aggregation, 8428783, April 23  2013, 
pat0_34, Photovoltaic greenhouse structure, 8418401, April 16  2013, 
pat0_35, Reactive power compensation in solar power system, 8406019, March 26  2013, 
pat0_36, Method and apparatus for control of fault-induced delayed voltage recovery (FIDVR) with photovoltaic and other inverter-based devices, 8405247, March 26  2013, 
pat0_37, Networked multi-inverter maximum power-point tracking, 8401706, March 19  2013, 
pat0_38, Apparatus and methodology for maximum power point tracking for a solar panel, 8400134, March 19  2013, 
pat0_39, Photovoltaic inverter system and method of starting same at high open-circuit voltage, 8395919, March 12  2013, 
pat0_3, Circuit limiting an absolute voltage difference between electrical paths of photovoltaic dies, 8513833, August 20  2013, 
pat0_40, Renewable energy power generation systems, 8391032, March 5  2013, 
pat0_41, Solar power inverters  including solar power inverters having surge protective devices  and associated methods, 8390977, March 5  2013, 
pat0_42, Distributed power harvesting systems using DC power sources, 8384243, February 26  2013, 
pat0_43, Electrical cable harness and assembly for transmitting AC electrical power, 8383943, February 26  2013, 
pat0_44, Method and apparatus for boosting DC bus voltage, 8374011, February 12  2013, 
pat0_45, Solar power generation stabilization system and method, 8373312, February 12  2013, 
pat0_46, Device and method for generating alternating current, 8373308, February 12  2013, 
pat0_47, Hybrid installation with a biogas installation, 8373305, February 12  2013, 
pat0_48, Solar synchronized loads for photovoltaic systems, 8373303, February 12  2013, 
pat0_49, Power conditioning unit, 8369113, February 5  2013, 
pat0_4, Printable photovoltaic electrochromic device and module, 8508834, August 13  2013, 
pat0_50, Optimized building integrated hybrid roofing system, 8365500, February 5  2013, 
pat0_51, Safety device for plug and play solar energy system, 8362646, January 29  2013, 
pat0_52, Device  system  and method for managing an application of power from photovoltaic arrays, 8362644, January 29  2013, 
pat0_53, Method of operating an inverter by turning off the switching at a zero transition of the alternating output current, 8358523, January 22  2013, 
pat0_54, Smart photovoltaic panel and method for regulating power using same, 8358489, January 22  2013, 
pat0_55, Systems  methods  and apparatus for converting DC power to AC power, 8358033, January 22  2013, 
pat0_56, System and method for a single stage power conversion system, 8358031, January 22  2013, 
pat0_57, Multicolor photovoltaic electrochromic apparatus, 8345344, January 1  2013, 
pat0_58, Photovoltaic power system, 8344549, January 1  2013, 
pat0_59, Solar-powered thermal insulating tape, 8344293, January 1  2013, 
pat0_5, Quadrature-corrected feedforward control apparatus and method for DC-AC power conversion, 8503200, August 6  2013, 
pat0_60, Analog MPPT circuit for photovoltaic power plant, 8339112, December 25  2012, 
pat0_61, Inverter power system, 8338989, December 25  2012, 
pat0_62, System and method for energy optimization in photovoltaic generators, 8334617, December 18  2012, 
pat0_63, Photovoltaic integrated variable frequency drive, 8334616, December 18  2012, 
pat0_64, DC to DC power converters and methods of controlling the same, 8330299, December 11  2012, 
pat0_65, Fuse for disconnecting an inverter from a photovoltaic generator, 8319377, November 27  2012, 
pat0_66, DC power system using HCPV and BIPV modules, 8314512, November 20  2012, 
pat0_67, Method for operating an inverter having a step-up device connected upstream, 8310851, November 13  2012, 
pat0_68, Power supply having an improved maximum power point tracking function, 8305058, November 6  2012, 
pat0_69, Efficient solar energy power creation systems, 8304932, November 6  2012, 
pat0_6, Integrated remotely controlled photovoltaic system, 8502129, August 6  2013, 
pat0_70, Photovoltaic inverter, D669847, October 30  2012, 
pat0_71, Data acquisition apparatus and methodology for self-diagnosing of AC modules, 8300439, October 30  2012, 
pat0_72, Controlling apparatus for a concentration photovoltaic system, 8297273, October 30  2012, 
pat0_73, Local power tracking for dynamic power management in weather-sensitive power systems, 8295989, October 23  2012, 
pat0_74, Photovoltaic grounding, 8294303, October 23  2012, 
pat0_75, System  method  and apparatus for remotely coupling photovoltaic arrays, 8294296, October 23  2012, 
pat0_76, Self-contained structure configurable as a shipping container and as a dwelling, 8291647, October 23  2012, 
pat0_77, System and method for solar panel array analysis, 8289183, October 16  2012, 
pat0_78, Maximum power point matching method, RE43719, October 9  2012, 
pat0_79, Method and apparatus for controlling an inverter using pulse mode control, 8284574, October 9  2012, 
pat0_7, Electric circuit for converting direct current into alternating current, 8493760, July 23  2013, 
pat0_80, Apparatus for converting direct current to alternating current using an active filter to reduce double-frequency ripple power of bus waveform, 8279642, October 2  2012, 
pat0_81, Converter comprising at least one normally on semiconductor switch, 8278892, October 2  2012, 
pat0_82, Online measurement system of radioactive tracers on oil wells head, 8275549, September 25  2012, 
pat0_83, Photovoltaic and fuel cell hybrid generation system using dual converters and single inverter and method of controlling the same, 8269372, September 18  2012, 
pat0_84, Network topology for monitoring and controlling a solar panel array, 8264195, September 11  2012, 
pat0_85, Electric power generating system for multiple sources and interface to an AC grid, 8264100, September 11  2012, 
pat0_86, Methods and systems for operating a two-stage power converter, 8259479, September 4  2012, 
pat0_87, Solar power management system, 8258741, September 4  2012, 
pat0_88, Method and apparatus for interconnecting distributed power sources, 8257106, September 4  2012, 
pat0_89, Topology surveying a series of capacitors, 8253424, August 28  2012, 
pat0_8, Apparatus and method for charging and discharging photovoltaic PCS integrated battery, 8493020, July 23  2013, 
pat0_90, Centralized power conditioning, 8249758, August 21  2012, 
pat0_91, Photovoltaic inverter, 8243446, August 14  2012, 
pat0_92, High efficiency remotely controllable solar energy system, 8242634, August 14  2012, 
pat0_93, Hybrid wind-solar inverters, 8232681, July 31  2012, 
pat0_94, Systems  methods  and apparatus for operating a power converter, 8228697, July 24  2012, 
pat0_95, Uninterruptible power supplies  solar power kits for uninterruptible power supplies and related methods, 8227937, July 24  2012, 
pat0_96, Apparatus for phase rotation for a three-phase AC circuit, 8222767, July 17  2012, 
pat0_97, Multiphase grid synchronized regulated current source inverter systems, 8213199, July 3  2012, 
pat0_98, Method for activating a multi-string inverter for photovoltaic plants, 8212409, July 3  2012, 
pat0_99, Collection of electric power from renewable energy sources via high voltage  direct current systems with conversion and supply to an alternating current transmission network, 8212408, July 3  2012, 
pat0_9, Method and apparatus for improved burst mode during power conversion, 8492932, July 23  2013, 
pat1_1000, Precision drive for positioning solar energy apparatus, 4574659, March 11  1986, 
pat1_1001, Watch apparatus and method for a universal electronic locking system, 4573046, February 25  1986, 
pat1_1002, Solar ray collector device, 4572161, February 25  1986, 
pat1_1003, Solar and convection assisted heat pump system, 4571952, February 25  1986, 
pat1_1004, Solar-powered aroma generator, 4568521, February 4  1986, 
pat1_1005, Solar energy collector, 4566434, January 28  1986, 
pat1_1006, Method for mass producing solar radiation reflectors, 4566432, January 28  1986, 
pat1_1007, Spontaneous circulation type solar heat collector, 4566431, January 28  1986, 
pat1_1008, Solar energy collecting system, 4564002, January 14  1986, 
pat1_1009, Alternating current generator system for a car, 4560916, December 24  1985, 
pat1_100, Thermogenic augmentation system, 8245947, August 21  2012, 
pat1_1010, Solar collector assembly, 4559925, December 24  1985, 
pat1_1011, Light powered rotating detection mirror, 4556299, December 3  1985, 
pat1_1012, Net energy transfer measurement methods  apparatus and systems with solar energy and control applications, 4555764, November 26  1985, 
pat1_1013, Solar assisted heat pump heating and cooling system, 4551987, November 12  1985, 
pat1_1014, Hot weather hat, 4551857, November 12  1985, 
pat1_1015, Spectrophotometer for measuring absorption characteristics of a complex lens, 4549081, October 22  1985, 
pat1_1016, Solar heating module, 4545364, October 8  1985, 
pat1_1017, Solar ray collecting device, 4541415, September 17  1985, 
pat1_1018, Solar battery energizer, 4539516, September 3  1985, 
pat1_1019, Solar energy operated irrigation surge valve, 4535813, August 20  1985, 
pat1_101, LED light source adapter, 8242701, August 14  2012, 
pat1_1020, Modular passive solar energy heating unit employing phase change heat storage material which is clearly transparent when in its high-stored-energy liquid state, 4532917, August 6  1985, 
pat1_1021, Window blind type solar collector, 4527548, July 9  1985, 
pat1_1022, Solar energy system and solar heat collector, 4527545, July 9  1985, 
pat1_1023, Collector means for solar energy collecting system, 4523575, June 18  1985, 
pat1_1024, Lightweight solar collector, 4520796, June 4  1985, 
pat1_1025, Light bulb attached sign assembly, 4517758, May 21  1985, 
pat1_1026, Apparatus for the collection of solar heat energy and a solar collector, 4515149, May 7  1985, 
pat1_1027, Cylindro-parabolical solar energy collector, 4515148, May 7  1985, 
pat1_1028, Portable thermal exchange system, 4512334, April 23  1985, 
pat1_1029, Solar tracking system employing inertial coasting, 4510385, April 9  1985, 
pat1_102, Concentrating photovoltaic solar panel, 8242350, August 14  2012, 
pat1_1030, Solar energy collecting system using a primary reflector based on a pyramid structure, 4509501, April 9  1985, 
pat1_1031, Locking means for solar collector, 4508426, April 2  1985, 
pat1_1032, Modular passive solar heating system, 4505261, March 19  1985, 
pat1_1033, Light collecting type of solar energy collecting system, 4505258, March 19  1985, 
pat1_1034, Solar desalination system and method, 4504362, March 12  1985, 
pat1_1035, Compact attic mounted solar heating pack assembly, 4502467, March 5  1985, 
pat1_1036, Sun tracking solar air heating system, 4497311, February 5  1985, 
pat1_1037, Parabolic trough solar collector, 4493313, January 15  1985, 
pat1_1038, Valve and system incorporating same, 4492219, January 8  1985, 
pat1_1039, Louver solar panel, 4489709, December 25  1984, 
pat1_103, Planar solar concentrator, 8242349, August 14  2012, 
pat1_1040, Handle stem for a bicycle, 4489307, December 18  1984, 
pat1_1041, Solar heater for swimming pools, 4485802, December 4  1984, 
pat1_1042, Solar power station, 4481562, November 6  1984, 
pat1_1043, Radiosonde housing, 4480334, October 30  1984, 
pat1_1044, Power efficiency for very high temperature solar thermal cavity receivers, 4479485, October 30  1984, 
pat1_1045, Solar heating system, 4478210, October 23  1984, 
pat1_1046, Gas spring solar tracker, 4476854, October 16  1984, 
pat1_1047, Solar energy recovery system, 4476853, October 16  1984, 
pat1_1048, Nontracking parabolic collector apparatus, 4475537, October 9  1984, 
pat1_1049, Solar collectors, 4471764, September 18  1984, 
pat1_104, Twin-chip-mounting type diode, 8237065, August 7  2012, 
pat1_1050, Method of forming a solar collector or hot water storage tank and solar water heating apparatus using same, 4471759, September 18  1984, 
pat1_1051, House siding solar panel, 4471758, September 18  1984, 
pat1_1052, Apparatus for and method of heating a swimming pool, 4470404, September 11  1984, 
pat1_1053, Load bearing solar powered displays, 4470213, September 11  1984, 
pat1_1054, Static solar tracking mechanism, 4467787, August 28  1984, 
pat1_1055, Solar energy air-heating system, 4465058, August 14  1984, 
pat1_1056, Modular solar concentrator, 4463749, August 7  1984, 
pat1_1057, Junction box for solar modules, 4460232, July 17  1984, 
pat1_1058, Heliostat assembly, 4459972, July 17  1984, 
pat1_1059, Support and organizer for components of solar heating systems and the like, 4459971, July 17  1984, 
pat1_105, Concentrating solar power generation unit  concentrating solar power generation apparatus  concetrating lens  concentrating lens structure  and method of manufacturing concentrating lens structure, 8237044, August 7  2012, 
